name,blockname(java),id,old_id,x方向の長さ,z方向の長さ,深さ,確率,旗,船かどうか,占領時コマンド,出現バイオーム,,,,,,,,,,,,,,max
ダンジョン_ゲリラ小型拠点,gvcr2_block_building_smallbase,smallbase,,37,25,6,0.1,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_ゲリラ砂漠小型拠点,gvcr2_block_building_smallbase_de,smallbase_de,,37,25,6,0.1,S,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_ゲリラ雪原小型拠点,gvcr2_block_building_smallbase_sn,smallbase_sn,,37,25,6,0.1,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_物見やぐら,gvcr2_block_building_watchtower,watchtower,,16,16,6,0.1,S,F,,all,;overworld,F;ocean,F;river,,,,,,,,,,,
ダンジョン_鉄塔,gvcr2_block_building_latticetower,latticetower,,16,16,6,0.5,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_山岳鉄塔,gvcr2_block_building_latticetower_mt,latticetower_mt,,16,16,6,0.5,S,F,,any,;windswept_hills,,,,,,,,,,,,,
ダンジョン_雪原鉄塔,gvcr2_block_building_latticetower_sn,latticetower_sn,,16,16,6,0.5,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_潜水艦,gvcr2_block_building_submarine,submarine,,84,19,9,0.05,S,T,,any,;ocean,,,,,,,,,,,,,
ダンジョン_雪原潜水艦,gvcr2_block_building_submarine_sn,submarine_sn,,96,32,10,0.05,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_野戦飛行場,gvcr2_block_building_airfield,airfield,dm1,64,48,10,0.05,M,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_旧砲台陣地,gvcr2_block_building_cannon_position,cannon_position,dm2,64,64,10,0.05,M,F,,all,;overworld,F;ocean,F;river,,,,,,,,,,,
ダンジョン_メトロ,gvcr2_block_building_metro,metro,dm3,96,48,32,0.05,M,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_ゲリラ駆逐艦,gvcr2_block_building_ff,ff,dm4,80,17,2,0.05,M,T,,any,;ocean,,,,,,,,,,,,,
ダンジョン_駐屯地,gvcr2_block_building_garrison,garrison,da1,64,64,10,0.05,A,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_砂漠駐屯地,gvcr2_block_building_garrison_de,garrison_de,da1_d,64,64,10,0.05,A,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_雪原駐屯地,gvcr2_block_building_garrison_sn,garrison_sn,,115,102,10,0.05,A,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_氷雪駐屯地,gvcr2_block_building_garrison_ice,garrison_ice,,64,64,10,0.05,A,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_同盟軍飛行場,gvcr2_block_building_airbase,airbase,da2,128,128,10,0.02,A,F,,all,;overworld,F;ocean,F;river,,,,,,,,,,,
ダンジョン_同盟軍駆逐艦,gvcr2_block_building_dd,dd,da3,80,34,2,0.05,A,T,,any,;ocean,,,,,,,,,,,,,
ダンジョン_街,gvcr2_block_building_city,city,dl1,128,128,10,0.02,L,F,summon gvcv5:st1 ~-32~~,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_廃工場,gvcr2_block_building_abandoned_factory,abandoned_factory,dl2,128,128,10,0.02,L,F,summon gvcv5:merg08 ~~20~,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_廃墟,gvcr2_block_building_ruins,ruins,dl3,128,128,10,0.02,L,F,summon gvcv5:merg08b ~~20~,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_旧塹壕跡,gvcr2_block_building_trench,trench,dl4,128,128,10,0.02,L,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_城跡,gvcr2_block_building_snowcastle,snowcastle,dl5,,,,,,F,,,,,,,,,,,,,,,,
ダンジョン_貨物船,gvcr2_block_building_ship,ship,dl6,128,35,0,0.02,L,T,,any,;ocean,,,,,,,,,,,,,
ダンジョン_鉄道拠点跡,gvcr2_block_building_trainstation,trainstation,dl7,128,128,10,0.02,L,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_ライヒスターク,gvcr2_block_building_reichstag,reichstag,dl8,105,105,22,0.02,L,F,summon gvcv5:hauneb ~~10~,all,;overworld,F;ocean,F;river,,,,,,,,,,,
ダンジョン_砂漠都市,gvcr2_block_building_desertcity,desertcity,dl9,128,128,10,0.02,L,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_凱旋門,gvcr2_block_building_triumphal_arch,triumphal_arch,dl10,105,105,10,0.02,L,F,summon gvcv5:char2c ~~1~,all,;overworld,F;ocean,F;river,,,,,,,,,,,
ダンジョン_旧戦艦,gvcr2_block_building_battleship,battleship,dl11,,,,,,,,,,,,,,,,,,,,,,
ダンジョン_強襲揚陸艦,gvcr2_block_building_cv,cv,dl12,128,64,2,0.02,Lnf,T,,any,;ocean,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
execute if entity @p[r=30] run function flag/,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,bunker_ne,,,,,,,,,,,,,,,,,,,,,,,
,,bunker_cr,,,,,,,,,,,,,,,,,,,,,,,
,,bunker_ne,,,,,,,,,,,,,,,,,,,,,,,
